237	2562
3059	3481
3495	4473
742	642
2317	6108
5953	7338
5235	2929
1	2741
2531	2553
2964	1
334	1246
4900	64
2500	4483
3729	3158
1360	35
2480	1572
3015	4006
2220	1510
1322	6804
4464	5420
758	2361
2685	1971
1454	2063
909	2908
984	7465
4549	2018
1162	1988
2290	1983
3569	3591
6895	3530
2	1202
4101	3848
4226	6733
1012	4601
3339	541
5048	2280
6781	410
1448	334
4039	2718
2103	1191
2926	2
5884	5126
3835	1071
342	7011
2	6679
2872	1071
6779	2895
3939	3476
547	4370
2273	589
1483	5760
1384	1615
168	2
7189	4493
5894	1646
3444	3305
335	4678
5940	5845
7221	4366
2	2170
6963	4273
7458	2609
2848	3465
4138	4077
7218	219
3988	1090
2875	1085
458	325
2354	4586
5136	2
1116	2212
5481	2469
14	2869
1911	851
795	5124
1339	57
4600	6738
4264	1778
2432	6703
993	1789
2216	3731
3775	1338
1734	4701
2820	293
4404	969
422	78
2790	5990
1317	881
1117	1809
3352	117
520	1002
808	6553
1107	2462
1328	2213
3	689
4297	4342
3907	4961
821	608
4990	2615
75	2452
3837	171
5621	4028
3130	5004
6710	6058
2744	6686
65	4876
4706	467
4312	5680
4851	33
761	7114
222	3140
7	2242
3478	3612
3954	5
3018	3340
389	3726
504	6495
4	1102
1702	6218
533	3622
2779	5068
7456	4
2600	3077
1018	7427
1843	613
3929	2261
6725	6540
334	4118
2311	2208
786	1979
4	4533
7134	1802
4207	1182
3083	7319
4785	2502
5979	1703
3501	1565
5506	3997
1285	5690
5868	1043
549	300
208	46
6812	5316
2380	2590
41	77
2120	1553
4	4808
2580	2768
1332	6815
159	7498
2149	3676
2649	2192
5820	3575
435	5095
1224	1468
5654	3960
5347	6112
507	5302
1651	1332
2080	136
6770	6971
4895	3019
1607	5188
2131	1089
2091	73
2984	988
1890	577
4947	1786
6516	4551
640	3031
6257	2039
130	1146
1388	6836
4042	223
1266	1859
2832	6445
319	59
5882	810
3657	1855
68	4880
4053	2455
6	3534
4319	6
259	942
974	7475
218	1685
6	3355
6772	5074
2487	826
3986	1685
543	608
474	4713
5014	3274
2274	2757
3970	7296
2290	3426
473	6
1720	4046
5800	2689
6910	3877
6145	3798
601	3596
5487	1531
3815	1079
1788	326
3251	4862
1007	2266
4281	1128
2101	3109
2727	615
2054	713
5943	7043
1497	3596
2006	1761
3754	5531
4185	3543
2348	3089
3958	5531
2203	1386
209	1569
3010	3126
2856	1168
15	50
1389	4365
2053	5645
7366	1408
3585	718
2504	388
319	2798
3922	1125
3969	1022
7267	2047
4161	4139
3928	11
1078	2788
7435	3113
341	7455
9	2164
613	6411
795	5854
5646	9
6827	7069
1220	1611
5705	5494
4080	780
3509	4747
10	3246
3081	10
10	1416
60	6261
1005	10
2894	5465
4782	3277
11	68
4100	3587
710	1008
11	5140
5645	6317
7416	4284
2602	3761
4301	2390
4310	11
2758	2238
2865	868
893	1010
1220	4027
5384	2584
465	3488
1904	7181
4335	1479
2377	933
2911	612
2030	1929
589	4369
12	591
3788	2190
1669	3910
2002	2448
2262	5493
6865	1580
6743	4627
3352	4368
1858	798
5985	4223
5245	2409
623	3392
5468	1717
2560	1780
871	573
13	5440
427	2266
235	13
6039	3833
6138	137
1377	3566
933	613
1907	1212
5532	5
3389	3162
49	222
139	2353
5382	1464
13	539
3059	463
2373	1044
2426	3182
13	289
6595	2585
1307	14
5515	14
2741	5407
3603	4298
398	1842
6791	575
2687	216
4805	6727
1041	4017
5358	2967
5179	805
3073	614
4942	6108
6517	2350
3825	4543
6835	891
2384	881
3360	4473
1116	4178
613	643
4979	2842
4994	1703
2660	3427
6468	4342
84	7362
7074	1872
3955	3885
5901	7098
6879	1937
359	7081
3965	103
925	2108
1327	712
5909	4902
7168	6019
16	178
661	7308
6215	7323
5709	6735
951	22
884	740
3113	1565
5827	1123
3742	1686
3089	5294
5431	2829
1000	6706
6380	7170
3563	17
3125	109
6996	5228
2421	239
1453	3341
1337	3109
106	1783
330	1114
237	4759
5227	1803
1453	2594
5506	10
2404	7142
4947	1561
984	1041
18	204
5415	335
6877	2159
2747	432
1235	921
5482	3070
2164	1432
318	319
1231	1447
3632	1559
4716	6217
5636	3413
3345	359
2432	797
805	224
1645	7011
6978	20
335	2024
2691	1085
6868	802
21	2118
776	679
6099	1526
791	713
5260	4357
4298	6685
4144	5888
3858	3310
22	2311
991	3407
6814	22
341	892
703	1782
3837	7445
1677	7202
2899	6405
2626	1644
6084	2768
1026	457
1266	553
5887	1589
3261	2984
1361	274
3003	6986
3906	293
4487	24
6928	2081
2190	721
2162	1317
4885	5181
2625	5590
5310	3385
1624	25
222	1791
6721	268
2118	1449
4795	6871
614	3306
2369	25
4471	4156
4	6341
69	2068
4597	5346
22	2447
3052	2672
4579	5918
2755	4436
1522	4874
307	1331
893	909
7375	3017
319	2467
1742	2846
83	784
6317	1327
5013	334
820	6978
27	1041
1568	3305
